listing_id,list_price,pull_date,permalink,Address,Address_lat,Address_long,central_air,recreation_facilities,basement,rental_property,dishwasher,hardwood_floors,central_heat,disability_features,fireplace,pets_allowed,washer_dryer,two_or_more_stories,garage_1_or_more,garage_2_or_more,garage_3_or_more,updated_kitchen,high_ceiling,master_bedroom,big_lot,forced_air,park,shopping,modern_kitchen,large_kitchen,medicalcare,laundry_room,granite_kitchen,open_kitchen,trails,maintenance,single_story,dining_room,family_room,fenced_yard,private_bathroom,open_floor_plan,floor_plan,ensuite,groundscare,river_view,view,water_view,gourmet_kitchen,efficient,corner_lot,furniture,community_swimming_pool,big_yard,private_backyard,community_outdoor_space,front_porch,lake_view,waterfront,views,lake,beach,new_construction,vaulted_ceiling,spa_or_hot_tub,basketball_court,tennis_court,playground,tennis,basketball,no_hoa,carport,master_suite,library,clubhouse,new_roof,large_porch,soccer,farm,dual_master_bedroom,community_gym,den_or_office,golf_course,jack_and_jill_bathroom,ranch,beds,baths,baths_full,baths_half,baths_1qtr,baths_3qtr,garage,stories,type,sub_type,lot_sqft,sqft,year_built,sold_price,sold_date,name,school_ids,elementary_school_rating,middle_school_rating,high_school_rating
2963169561,2399,2024-01-21 09:46:19.821665,https://www.realtor.com/realestateandhomes-detail/888-N-Quincy-St-Unit-908_Arlington_VA_22203_M58020-74488,"888 N Quincy St Unit 908 Arlington, VA 22203",38.880825,-77.107941,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,1.0,,,,,,single_family,,,684.0,2008.0,470000.0,2021-05-24,,"['Washington-Liberty-High-School-0772859031', 'Ashlawn-Elementary-School-0772858721', 'Swanson-Middle-School-0772858951']",0.0,7.0,0.0
2962996506,5400,2024-01-21 09:46:19.821665,https://www.realtor.com/realestateandhomes-detail/11454-Mallard-Creek-Trl_Fairfax_VA_22033_M66875-87813,"11454 Mallard Creek Trl Fairfax, VA 22033",38.870256,-77.341646,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,6.0,4.0,2.0,,,3.0,,single_family,,36155.0,6027.0,2006.0,1357486.0,2006-03-23,,"['Waples-Mill-Elementary-School-0772863541', 'Oakton-High-School-0772865051', 'Franklin-Middle-School-0772866041']","slug_id
Franklin-Middle-School-0772866041    0.0
Franklin-Middle-School-0772866041    0.0
Name: elementary_school_rating, dtype: float64","slug_id
Franklin-Middle-School-0772866041    7.0
Franklin-Middle-School-0772866041    7.0
Name: middle_school_rating, dtype: float64","slug_id
Franklin-Middle-School-0772866041    0.0
Franklin-Middle-School-0772866041    0.0
Name: high_school_rating, dtype: float64"
2962122885,3500,2024-01-21 09:46:19.821665,https://www.realtor.com/realestateandhomes-detail/488-N-Pickett-St_Alexandria_VA_22304_M56407-15953,nan,,,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4.0,2.0,2.0,,,,,single_family,,8817.0,1842.0,1956.0,202000.0,1991-12-02,,"['James-K-Polk-Elementary-School-0772858151', 'Francis-C-Hammond-Middle-0772858121', 'Alexandria-City-High-School-0772858261']",0.0,0.0,2.0
2962948718,4800,2024-01-21 09:46:19.821665,https://www.realtor.com/realestateandhomes-detail/2300-N-Buchanan-St_Arlington_VA_22207_M58180-60874,"2300 Buchanan St N Arlington, VA 22207",38.898569,-77.126378,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3.0,2.0,1.0,,,,,single_family,,,1942.0,,,None,,"['Yorktown-High-School-0772859051', 'Discovery-Elementary-School-0772966041', 'Williamsburg-Middle-School-0772859041']",0.0,9.0,0.0
2942941398,3300,2024-01-21 09:46:19.821665,https://www.realtor.com/realestateandhomes-detail/4737-20th-St-N_Arlington_VA_22207_M64208-97200,"4737 N 20th St Arlington, VA 22207",38.893643,-77.122452,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.0,1.0,1.0,,,,,single_family,,,,,24500.0,1967-08-01,,"['Glebe-Elementary-School-0772858801', 'Swanson-Middle-School-0772858951', 'Yorktown-High-School-0772859051']",0.0,0.0,6.0
2963095413,6000,2024-01-21 09:46:19.821665,https://www.realtor.com/realestateandhomes-detail/10317-Hickory-Forest-Dr_Oakton_VA_22124_M51269-81151,"10317 Hickory Forest Dr Oakton, VA 22124",38.894306,-77.301831,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4.0,3.0,1.0,,,2.0,,single_family,,29499.0,4445.0,1986.0,972500.0,2018-05-01,,"['Oakton-Elementary-School-0772865041', 'Oakton-High-School-0772865051', 'Thoreau-Middle-School-0772865361']",0.0,6.0,0.0
2963245815,3000,2024-01-21 09:46:19.821665,https://www.realtor.com/realestateandhomes-detail/5214-Montgomery-St_Springfield_VA_22151_M69168-46852,"5214 Montgomery St Springfield, VA 22151",38.809898,-77.177678,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.0,1.0,1.0,,,1.0,2.0,single_family,,11037.0,1915.0,1958.0,441000.0,2019-06-24,,"['Holmes-Middle-School-0772864451', 'Bren-Mar-Park-Elementary-School-0772863511', 'Edison-High-School-0772863921']",0.0,0.0,4.0
2957604623,9350,2024-01-21 09:46:19.821665,https://www.realtor.com/realestateandhomes-detail/Washington_DC_20007_M59188-96799,nan,,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.0,3.0,1.0,,,2.0,,single_family,,6750.0,3992.0,1996.0,1800000.0,2014-02-11,,"['Hardy-Middle-School-0715716351', 'Key-Elementary-School-0715716221', 'Wilson-High-School-0715715761']",0.0,0.0,9.0
2962800422,3250,2024-01-21 09:46:19.821665,https://www.realtor.com/realestateandhomes-detail/3822-Gallows-Rd_Annandale_VA_22003_M50777-68738,"3822 Gallows Rd Annandale, VA 22003",38.840457,-77.19858,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3.0,2.0,1.0,,,,,single_family,,10052.0,1324.0,1959.0,,None,,"['Mason-Crest-Elementary-School-0772933311', 'Poe-Middle-School-0772865131', 'Falls-Church-High-School-0772864011']",0.0,0.0,2.0
2962787363,7000,2024-01-21 09:46:19.821665,https://www.realtor.com/realestateandhomes-detail/2393-Watters-Glen-Ct_Falls-Church_VA_22043_M61347-15397,"2393 Watters Glen Ct Falls Church, VA 22043",38.894392,-77.209156,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.0,4.0,1.0,,,2.0,,single_family,,10909.0,5443.0,2000.0,750000.0,2003-01-13,,"['Shrevewood-Elementary-School-0772865231', 'Marshall-High-School-0772864901', 'Kilmer-Middle-School-0772864631']",0.0,6.0,0.0
