property_url,mls,mls_id,status,style,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage
https://www.realtor.com/realestateandhomes-detail/6338869052,PHPA,VAFX2107092,SOLD,SINGLE_FAMILY,8919 Arley Dr,,Springfield,VA,22153,4,3,1,3039,2023,126,995000,2023-06-30,931000,2023-11-03,9118,306,38.757899,-77.255321,3,0,2
https://www.realtor.com/realestateandhomes-detail/5453162579,PHPA,VAFX2149756,SOLD,TOWNHOMES,5101 Arrit Ct,,Burke,VA,22015,2,2,1,1614,1971,27,459900,2023-10-05,450000,2023-11-01,1430,279,38.812028,-77.268005,3,107,
https://www.realtor.com/realestateandhomes-detail/6474622429,PHPA,VAFX2147790,SOLD,SINGLE_FAMILY,9022 Andromeda Dr,,Burke,VA,22015,4,3,,1560,1971,40,599999,2023-09-21,585000,2023-10-31,8944,375,38.781165,-77.262531,2,0,
https://www.realtor.com/realestateandhomes-detail/6349446129,PHPA,VAFX2124144,SOLD,TOWNHOMES,9820 Burke Pond Ln,,Burke,VA,22015,4,3,1,2574,1984,41,629000,2023-09-20,664000,2023-10-31,2040,258,38.785731,-77.283356,3,106,
https://www.realtor.com/realestateandhomes-detail/6284945936,PHPA,VAFX2150454,SOLD,TOWNHOMES,6702 Sunset Woods Ct,,Burke,VA,22015,3,2,2,2927,1988,26,645000,2023-10-05,617500,2023-10-31,2884,211,38.770757,-77.26844,3,103,1
https://www.realtor.com/realestateandhomes-detail/5867380347,PHPA,VAFX2149234,SOLD,TOWNHOMES,9434 William Kirk Ln,,Burke,VA,22015,3,3,1,2052,1988,33,569900,2023-09-28,553000,2023-10-31,1500,269,38.775922,-77.271586,3,92,
https://www.realtor.com/realestateandhomes-detail/6952661349,PHPA,VAFX2147384,SOLD,SINGLE_FAMILY,9152 Rockefeller Ln,,Springfield,VA,22153,5,3,,2754,1975,41,830000,2023-09-20,850000,2023-10-31,17382,309,38.760743,-77.263475,2,0,2
https://www.realtor.com/realestateandhomes-detail/6220270633,PHPA,VAFX2150536,SOLD,TOWNHOMES,10858 Oak Green Ct,,Burke,VA,22015,3,2,1,1320,1980,7,540000,2023-10-24,540000,2023-10-31,2310,409,38.797796,-77.320588,3,105,
https://www.realtor.com/realestateandhomes-detail/6141988340,PHPA,VAFX2125940,SOLD,TOWNHOMES,6025 Liberty Bell Ct,,Burke,VA,22015,3,2,2,2046,1974,33,534888,2023-09-28,565000,2023-10-31,1650,276,38.787377,-77.263402,3,100,
https://www.realtor.com/realestateandhomes-detail/5449627909,PHPA,VAFX2146720,SOLD,TOWNHOMES,10009 Wood Sorrels Ln,,Burke,VA,22015,4,2,2,2377,1979,52,669500,2023-09-08,685000,2023-10-30,4315,288,38.790141,-77.291691,3,100,1
https://www.realtor.com/realestateandhomes-detail/6802346281,PHPA,VAFX2149502,SOLD,TOWNHOMES,5052 Harford Ln,,Burke,VA,22015,3,2,1,1782,1972,24,535000,2023-10-06,535000,2023-10-30,1430,300,38.812452,-77.269992,3,98,
https://www.realtor.com/realestateandhomes-detail/6943587352,PHPA,VAFX2148816,SOLD,SINGLE_FAMILY,8622 Lauren Dr,,Springfield,VA,22153,3,3,1,2751,1989,31,720000,2023-09-29,780000,2023-10-30,6665,284,38.75219,-77.243604,3,21,2
https://www.realtor.com/realestateandhomes-detail/6975555233,PHPA,VAFX2146468,SOLD,SINGLE_FAMILY,5921 Crossin Ct,,Burke,VA,22015,4,3,,2363,1972,31,769900,2023-09-29,785000,2023-10-30,10117,332,38.789541,-77.255869,2,20,1
https://www.realtor.com/realestateandhomes-detail/6692880464,PHPA,VAFX2148262,SOLD,TOWNHOMES,9021 Rosewall Ct,,Springfield,VA,22152,3,3,1,1534,1979,39,680000,2023-09-18,680000,2023-10-27,2510,443,38.773573,-77.25618,3,102,
https://www.realtor.com/realestateandhomes-detail/5205056603,PHPA,VAFX2144466,SOLD,SINGLE_FAMILY,9102 Home Guard Dr,,Burke,VA,22015,3,2,1,2295,1978,51,785000,2023-09-06,786000,2023-10-27,11320,342,38.803414,-77.259754,3,11,2
https://www.realtor.com/realestateandhomes-detail/5516115425,PHPA,VAFX2145918,SOLD,SINGLE_FAMILY,5966 New England Woods Dr,,Burke,VA,22015,4,3,1,2443,1977,42,835000,2023-09-15,825000,2023-10-27,6392,338,38.790031,-77.288733,3,92,2
https://www.realtor.com/realestateandhomes-detail/5370836334,PHPA,VAFX2142078,SOLD,SINGLE_FAMILY,5600 Light Infantry Dr,,Burke,VA,22015,3,2,1,1302,1984,65,650000,2023-08-23,650000,2023-10-27,10224,499,38.798721,-77.25676,3,12,2
https://www.realtor.com/realestateandhomes-detail/5782041339,PHPA,VAFX2148260,SOLD,SINGLE_FAMILY,9607 Little Cobbler Ct,,Burke,VA,22015,4,2,1,3056,1978,37,890000,2023-09-19,900000,2023-10-26,13007,295,38.77441,-77.280008,4,13,2
